"code","language"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public twoSum(self, nums; List[int], target; int) -> List[int];
         left = 0
         right = len(nums)
         while left < right;
             if target-nums[left] in nums and nums.index(target-nums[left]) != left;
                 return [left,nums.index(target-nums[left])]
             else;
                 left+=1
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public lengthOfLongestSubstring(self, s; str) -> int;
        i, j = 0, 0
        n = len(s)
        frequencyArray = [0]*(5 * 10**4)
        maxSize = 0
        while j < n;
            frequencyArray[ord(s[j]) - ord('a')] += 1
            mapSize = (5*10**4) - frequencyArray.count(0)
            
            if mapSize == j - i + 1;
                maxSize = max(maxSize, j - i + 1)
                j += 1
            
            elif mapSize < j - i + 1;
                while mapSize < j - i + 1;
                    frequencyArray[ord(s[i]) - ord('a')] -= 1
                    mapSize = (5*10**4) - frequencyArray.count(0)
                    i += 1
                j += 1
        return maxSize
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public findMedianSortedArrays(self, nums1; List[int], nums2; List[int]) -> float;
        sum_list = nums1 + nums2
        sum_list.sort()
        sum_size = len(sum_list)

        if sum_size % 2 == 0;
            x = (sum_list[int(sum_size/2)] + sum_list[int((sum_size/2) - 1)]) / 2
        else;
            x = sum_list[int(sum_size/2)]

        return x
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public longestPalindrome(self, s; str) -> str;
        self.res = """";
        self.resLen = 0;
        for i in range(len(s));
            self.getPalindrome(s,i,i);
            self.getPalindrome(s,i,i+1);
        return self.res;
        public getPalindrome(self,s,l,r);
        while l >= 0 and r < len(s) and s[l] == s[r];
            if (r - l + 1) > self.resLen;
                self.res = s[l;r+1];
                self.resLen = len(self.res);
            l -= 1;
            r += 1;
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public convert(self, s; str, numRows; int) -> str;
        if numRows == 1;
            return s
        a = ['' for i in range(numRows)]
        c = numRows
        inc = False
        for i in s;
            a[numRows-c] += i // If numRows = 3, the range of numRows-c is [0, 2] as c is in the range of [1, 3]
            if not inc;
                c -= 1
                if c == 1;
                    inc = True
            else;
                c += 1
                if c == numRows;
                    inc = False
        return ''.join(a)
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public reverse(self, x; int) -> int;
        reverse = 0
        num, x = x, abs(x)
        while x;
            last = x % 10
            x //= 10
            reverse = reverse * 10 + last
            if not (reverse <= 2 ** 31 and reverse >= -2 ** 31);
                return 0
            
        return reverse if num > 0 else -reverse
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public myAtoi(self, s; str) -> int;
        s= s.strip("" "")
        if len(s) == 0;return 0
        s = list(s)
        sign = 1
        
        if s[0] == ""-"";
            sign = -1
            s.pop(0) // Removing the sign from the first term 
        elif s[0] == ""+"";
            sign = 1
            s.pop(0)
        else;
            pass
        
        if len(s) > 2 and not s[0].isdigit();
            return 0
        _ = ""0""
        
        for i in s;
            if i.isdigit();
                _+=i
            else;
                break
                
        return_val = int(_) * sign
        
        if return_val < -2147483648;
            return -2147483648
        
        elif return_val > 2147483647;
            return 2147483647
        
        else;
            return return_val
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public isPalindrome(self, x; int) -> bool;
        y = list(str(x))
        return y== list(reversed(y))
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
    @lru_cache
        public isMatch(self, s, p);
        if not p;   return not s
        if p[-1] == '*';
            return (self.isMatch(s, p[;-2])) or (s and (s[-1] == p[-2] or p[-2] == '.') and self.isMatch(s[;-1], p))
        return s and (p[-1] == s[-1] or p[-1] == '.') and self.isMatch(s[;-1], p[;-1])
}","java"
"import java.util.*;

public class Solution {
    // Original Python code transformed to Java
    class Solution;
        public maxArea(self, height; List[int]) -> int;
        """"""Uses two pointers. 
        Left pointer starts with 0th index and
        Right pointer starts at last index.
        Calculate the area and update if greater than
        area variable.
        If heigh[right] is greater than heigh[left], increment
        left, otherwise decrement right.
        """"""
        area = 0
        left = 0
        right = len(height) -1
        while left < right;
            side = min(height[left], height[right])
            width = right - left
            area = max(side * width, area)
            if height[right] > height[left];
                left += 1
            else;
                right -= 1
        return area
}","java"
